fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_start in Airport Bounds
3937c961,2025-02-22 04:30:00+00:00,SK1415,A20N,ARN,CPH,0.0,0.0,0.0,59.65296,17.92988,ADSB,,0.5619742060153988,SZS,2025-02-22 05:00:00+00:00,SK1415,A20N,ARN,CPH,0.0,22.0,0.0,59.657,17.92445,ADSB,2025-02-22 06:02:40+00:00,0.9448300511222258,SZS,0.5430038774374474,20.372,0.5619742060153988,0.9448300511222258,True
3937d161,2025-02-22 04:30:00+00:00,D89744,B38M,ARN,GNB,0.0,26.0,0.0,59.65625,17.94028,ADSB,,0.30190960249494053,NSZ,2025-02-22 05:00:00+00:00,D89744,B38M,ARN,GNB,36000.0,437.0,0.0,57.60518,14.44631,ADSB,2025-02-22 07:10:00+00:00,304.50447540989717,NSZ,304.74195502620205,404.66200000000003,0.30190960249494053,304.50447540989717,True
3937d2a4,2025-02-22 04:30:00+00:00,AF1463,BCS3,ARN,CDG,0.0,0.0,0.0,59.64403,17.92753,ADSB,,1.263302566532666,AFR,2025-02-22 05:00:00+00:00,AF1463,BCS3,ARN,CDG,0.0,0.0,0.0,59.64403,17.92756,ADSB,2025-02-22 07:49:20+00:00,1.2623822883803897,AFR,0.001685840071601738,inf,1.263302566532666,1.2623822883803897,True
3937d2bf,2025-02-22 05:30:00+00:00,OS318,A321,ARN,VIE,0.0,0.0,0.0,59.65324,17.93115,ADSB,,0.488026956318133,AUA,2025-02-22 06:00:00+00:00,OS318,A321,ARN,VIE,0.0,21.0,0.0,59.65591,17.92497,ADSB,2025-02-22 07:53:36+00:00,0.8744784224878461,AUA,0.45680813130731585,19.446,0.488026956318133,0.8744784224878461,True
3937d62a,2025-02-22 05:30:00+00:00,IB826,A20N,ARN,MAD,0.0,132.0,64.0,59.65631,17.92007,ADSB,,1.1510798002075424,IBE,2025-02-22 06:00:00+00:00,IB826,A20N,ARN,MAD,36000.0,421.0,0.0,57.37219,13.87928,ADSB,2025-02-22 09:01:52+00:00,346.2406474089913,IBE,345.68129178120597,389.846,1.1510798002075424,346.2406474089913,True
3937dbe9,2025-02-22 05:00:00+00:00,SK7935,A20N,ARN,SZG,0.0,20.0,0.0,59.65122,17.9547,ADSB,,0.8752462446414828,SZS,2025-02-22 05:30:00+00:00,SK7935,A20N,ARN,SZG,38025.0,438.0,0.0,57.18114,16.33727,ADSB,2025-02-22 06:56:00+00:00,290.30603653483325,SZS,290.3418996946709,405.588,0.8752462446414828,290.30603653483325,True
3937dcc9,2025-02-22 05:00:00+00:00,SK481,A319,ARN,OSL,0.0,9.0,0.0,59.65997,17.92506,ADSB,,1.0942905360245199,SAS,2025-02-22 05:30:00+00:00,SK481,A319,ARN,OSL,29825.0,392.0,-2176.0,60.1332,13.61559,ADSB,2025-02-22 06:00:57+00:00,246.96857529803071,SAS,245.98914613899433,362.992,1.0942905360245199,246.96857529803071,True
3937dcfc,2025-02-22 05:00:00+00:00,FR4691,B738,ARN,SKG,0.0,18.0,0.0,59.64879,17.92097,ADSB,,1.1834931501845485,MAY,2025-02-22 05:30:00+00:00,FR4691,B738,ARN,SKG,37000.0,445.0,0.0,57.83334,18.06931,ADSB,2025-02-22 08:02:08+00:00,202.5353048945361,MAY,202.05006295359343,412.07,1.1834931501845485,202.5353048945361,True
3937de86,2025-02-22 05:00:00+00:00,FR316,B38M,ARN,OPO,0.0,0.0,0.0,59.64633,17.92747,ADSB,,1.0605657705561866,RYR,2025-02-22 05:30:00+00:00,FR316,B38M,ARN,OPO,30650.0,418.0,1024.0,58.98601,15.34204,ADSB,2025-02-22 08:55:28+00:00,165.00947526606757,RYR,164.03770354096983,387.06800000000004,1.0605657705561866,165.00947526606757,True
3937deb6,2025-02-22 05:00:00+00:00,SK1805,A20N,ARN,PMI,0.0,0.0,0.0,59.65401,17.92905,ADSB,,0.607022187742533,SZS,2025-02-22 05:30:00+00:00,SK1805,A20N,ARN,PMI,35775.0,431.0,1024.0,58.22305,15.8826,ADSB,2025-02-22 08:25:36+00:00,198.05017663652168,SZS,197.72406270386367,399.106,0.607022187742533,198.05017663652168,True
