fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_end in Airport Bounds
393545bb,2025-02-22 00:30:00+00:00,DK2565,A339,HKT,ARN,29150.0,412.0,-1024.0,58.5318,17.83392,MLAT,2025-02-22 00:59:05+00:00,124.87886428264581,VKG,2025-02-22 01:00:00+00:00,DK2565,A339,HKT,ARN,0.0,16.0,0.0,59.65667,17.9436,ADSB,,0.40734680295529724,VKG,125.236548819176,14.816,124.87886428264581,0.40734680295529724,True
39363ec9,2025-02-22 05:30:00+00:00,TG960,A359,BKK,ARN,31575.0,451.0,-2816.0,58.38449,17.89678,MLAT,2025-02-22 06:02:43+00:00,141.1339677299962,THA,2025-02-22 06:00:00+00:00,TG960,A359,BKK,ARN,0.0,28.0,-64.0,59.64812,17.9204,MLAT,,1.2465363821169608,THA,140.5157477678587,25.928,141.1339677299962,1.2465363821169608,True
39365805,2025-02-22 03:30:00+00:00,CA3157,A332,CTU,ARN,15875.0,345.0,-1536.0,60.01136,19.47246,MLAT,2025-02-22 03:46:40+00:00,94.43024437615692,CAO,2025-02-22 04:00:00+00:00,CA3157,A332,CTU,ARN,0.0,0.0,0.0,59.63115,17.95244,ADSB,2025-02-22 03:44:41+00:00,2.58929500863161,CAO,94.8996127232838,,94.43024437615692,2.58929500863161,True
39369707,2025-02-22 05:00:00+00:00,CAO3105,A332,CTU,ARN,1525.0,131.0,-640.0,59.72433,17.98632,ADSB,2025-02-22 05:01:38+00:00,8.29231698629194,CAO,,,,,,,,,,,,,,,,,8.29231698629194,,
3936d378,2025-02-22 00:00:00+00:00,FR8418,B38M,TIA,ARN,3375.0,163.0,-128.0,59.84917,18.03575,MLAT,2025-02-22 00:02:52+00:00,22.406433149205327,RYR,,,,,,,,,,,,,,,,,22.406433149205327,,
3936e3b5,2025-02-22 04:30:00+00:00,ET714,B789,ADD,ARN,30925.0,441.0,-2048.0,58.18746,17.85331,MLAT,2025-02-22 05:02:13+00:00,163.09678402542315,ETH,2025-02-22 05:00:00+00:00,ET714,B789,ADD,ARN,0.0,11.0,0.0,59.64035,17.93622,ADSB,,1.481064992567306,ETH,161.62407366579103,10.186,163.09678402542315,1.481064992567306,True
39371ab9,2025-02-22 05:00:00+00:00,QR169,B788,DOH,ARN,16625.0,369.0,-1600.0,58.64203,17.98476,MLAT,2025-02-22 05:17:57+00:00,112.50452411248888,QTR,2025-02-22 05:30:00+00:00,QR169,B788,DOH,ARN,0.0,10.0,0.0,59.65741,17.95123,ADSB,,0.7718949409086232,QTR,112.92128710872227,9.26,112.50452411248888,0.7718949409086232,True
39371eaf,2025-02-22 06:00:00+00:00,SK904,A333,EWR,ARN,17375.0,423.0,-2304.0,59.8807,16.34557,ADSB,2025-02-22 06:26:10+00:00,92.76165694988501,SAS,,,,,,,,,,,,,,,,,92.76165694988501,,
39379a2e,2025-02-22 03:00:00+00:00,D88862,B38M,CPH,ARN,22950.0,429.0,-3136.0,59.10081,16.83674,ADSB,2025-02-22 03:25:19+00:00,87.6400279222912,NSZ,,,,,,,,,,,,,,,,,87.6400279222912,,
3937b80c,2025-02-22 16:00:00+00:00,6B356,B789,HKT,ARN,19200.0,368.0,-1600.0,58.7542,17.99055,MLAT,2025-02-22 16:19:31+00:00,100.04429460012581,BLX,2025-02-22 16:30:00+00:00,6B356,B789,HKT,ARN,0.0,0.0,0.0,59.65316,17.938,ADSB,,0.1106391363750658,BLX,100.00454173831562,,100.04429460012581,0.1106391363750658,True
3937cfa6,2025-02-22 06:00:00+00:00,D88860,B38M,CPH,ARN,650.0,100.0,-640.0,59.68053,17.97025,ADSB,2025-02-22 05:58:14+00:00,3.4531785534787187,NOZ,,,,,,,,,,,,,,,,,3.4531785534787187,,
3937dba5,2025-02-22 05:30:00+00:00,FR4617,B738,GDN,ARN,38000.0,410.0,0.0,57.65315,17.79198,MLAT,2025-02-22 05:58:24+00:00,222.59794890321436,RYS,,,,,,,,,,,,,,,,,222.59794890321436,,
3937dc15,2025-02-22 08:00:00+00:00,FR7619,B738,PMI,ARN,31275.0,401.0,-1024.0,58.04645,17.32225,ADSB,2025-02-22 08:32:40+00:00,182.19496025544035,RYR,2025-02-22 08:30:00+00:00,FR7619,B738,PMI,ARN,0.0,15.0,0.0,59.64244,17.95235,ADSB,,1.4215353887949196,RYR,181.127965887401,13.89,182.19496025544035,1.4215353887949196,True
3937dc39,2025-02-22 06:00:00+00:00,FR7679,B738,POZ,ARN,25650.0,361.0,-1024.0,58.57375,17.83026,ADSB,2025-02-22 06:26:02+00:00,120.23042148661105,RYS,2025-02-22 06:30:00+00:00,FR7679,B738,POZ,ARN,0.0,9.0,0.0,59.64709,17.92037,ADSB,,1.3072353914786434,RYS,119.4607344572381,8.334,120.23042148661105,1.3072353914786434,True
