Flight,Departure Time,Arrival Time,Destination Code,Airline,Destination Full,Status
D8455,10:45,12:20,LGW,Norwegian Air Sweden,London,Common
SK1421,10:50,12:00,CPH,SAS,Copenhagen,Common
D8269,11:10,16:25,TFS,Norwegian Air Sweden,Tenerife,Common
D8527,11:10,16:20,RAK,Norwegian Air Sweden,Marrakech,Common
SK531,11:15,12:55,LHR,SAS / Operated by SAS Connect on behalf of SAS,London,Common
PC1280,11:20,16:55,SAW,Pegasus,Istanbul,Common
SK165,11:25,12:40,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg,Common
BA777,11:25,13:20,LHR,British Airways,London,Common
KL1218,11:30,13:40,AMS,KLM,Amsterdam,Common
LX1235,11:35,14:20,GVA,Swiss,Geneva,Common
SK2277,11:40,12:50,ESKS,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Salen,Common
D8351,11:50,15:50,ALC,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Alicante,Common
SK1774,11:50,13:50,TLL,SAS,Tallinn,Common
SK8,11:55,13:15,LLA,SAS / Operated by CityJet on behalf of SAS,Lulea,Common
PC1280,11:20,16:55,SAW,Pegasus,Istanbul,Common
SK2277,11:40,12:50,ESKS,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Salen,Common
D8351,11:50,15:50,ALC,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Alicante,Common
FR4692,12:10,13:40,STN,Ryanair,London,Common
FR4640,12:15,14:20,RIX,Ryanair / Operated by Malta Air on behalf of Ryanair,Riga,Common
LH2415,12:20,14:35,MUC,Lufthansa,Munich,Common
SK7673,12:30,17:40,LPA,SAS,Las Palmas,Common
SK7857,12:30,14:50,INN,SAS,Innsbruck,Common
D8637,12:40,16:20,BCN,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Barcelona,Common
FI307,12:45,15:15,KEF,Icelandair,Reykjavik,Common
AF1263,12:45,15:30,CDG,Air France,Paris,Common
6B431,12:55,19:15,HRG,TUIfly Nordic,Hurghada,Common
TG961,13:00,05:45,BKK,Thai Airways International,Bangkok,Common
SK2728,13:00,14:55,TKU,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Turku,Common
LX1249,13:10,15:40,ZRH,Swiss,Zurich,Common
SK81,13:15,14:00,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby,Common
AY808,13:15,15:15,HEL,Finnair,Helsinki,Common
EW5064,13:25,15:50,INN,Eurowings / Operated by Eurowings Europe on behalf of Eurowings,Innsbruck,Common
KL1220,13:30,15:35,AMS,KLM,Amsterdam,Common
LX1247,13:40,16:10,ZRH,Swiss,Zurich,Common
FR4626,13:50,15:50,KRK,Ryanair / Operated by Malta Air on behalf of Ryanair,Krakow,Common
SK6071,13:55,16:40,LIN,SAS,Milan,Common
SK2949,13:55,18:20,SVQ,SAS / Operated by SAS Connect on behalf of SAS,Sevilla,Common
SK7937,13:55,16:10,SZG,SAS,Salzburg,Common
FR4686,14:00,18:35,AGP,Ryanair / Operated by Malta Air on behalf of Ryanair,Malaga,Common
SK489,14:10,15:30,OSL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Oslo,Common
AY810,14:15,16:15,HEL,Finnair,Helsinki,Common
SK1423,14:20,15:30,CPH,SAS / Operated by CityJet on behalf of SAS,Copenhagen,Common
TP781,14:20,17:45,LIS,TAP Air Portugal,Lisbon,Common
LH803,14:25,16:40,FRA,Lufthansa,Frankfurt,Common
TK1790,14:25,20:10,ISL,Turkish Airlines,Istanbul,Common
EK158,14:30,00:05,DXB,Emirates,Dubai,Common
IB824,14:40,18:45,MAD,Iberia,Madrid,Common
SK527,14:45,16:25,LHR,SAS / Operated by SAS Connect on behalf of SAS,London,Common
LH2417,15:00,17:15,MUC,Lufthansa,Munich,Common
SK2665,15:00,17:15,SZG,SAS,Salzburg,Common
PC5020,15:00,20:55,AYT,Pegasus,Antalya,Common
SK7885,15:10,17:55,TRN,SAS,Turin,Common
SK12,15:15,16:35,LLA,SAS,Lulea,Common
SK1817,15:15,19:40,AGP,SAS / Operated by SAS Connect on behalf of SAS,Malaga,Common
SK710,15:15,17:25,HEL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Helsinki,Common
PC1282,15:20,20:55,SAW,Pegasus,Istanbul,Common
FR3656,15:30,18:15,BGY,Ryanair / Operated by Malta Air on behalf of Ryanair,Milan,Common
SK1803,15:35,20:00,AGP,SAS / Operated by SAS Connect on behalf of SAS,Malaga,Common
OS314,15:40,17:55,VIE,Austrian,Vienna,Common
LX1251,15:55,18:20,ZRH,Swiss,Zurich,Common
SK409,16:00,17:15,CPH,SAS / Operated by SAS Link on behalf of SAS,Copenhagen,Common
SK2679,16:00,17:35,BER,SAS / Operated by CityJet on behalf of SAS,Berlin,Common
SK611,16:00,18:45,GVA,SAS,Geneva,Common
SK163,16:20,17:35,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg,Common
SK1605,16:20,18:45,ZRH,SAS,Zurich,Common
SK1492,16:25,18:20,TOS,SAS,Tromso,Common
SK2617,16:25,19:10,GVA,SAS / Operated by SAS Connect on behalf of SAS,Geneva,Common
LX1233,16:30,19:15,GVA,Swiss,Geneva,Common
SK2689,16:40,19:25,MXP,SAS,Milan,Common
FR4622,16:50,18:55,TLL,Ryanair / Operated by Malta Air on behalf of Ryanair,Tallinn,Common
SK7891,17:10,19:55,TRN,SAS,Turin,Common
SK615,17:15,20:00,GVA,SAS / Operated by SAS Connect on behalf of SAS,Geneva,Common
LH807,17:15,19:30,FRA,Lufthansa,Frankfurt,Common
D8329,17:25,20:10,LYS,Norwegian Air Sweden,Lyon,Common
SK7203,17:30,20:15,TRN,SAS,Turin,Common
KL1224,17:30,19:35,AMS,KLM,Amsterdam,Common
SK2659,17:50,20:00,MUC,SAS / Operated by SAS Connect on behalf of SAS,Munich,Common
FR4771,17:55,20:05,CGN,Ryanair / Operated by Malta Air on behalf of Ryanair,Cologne,Common
AY816,17:55,19:50,HEL,Finnair,Helsinki,Common
AF1063,18:05,20:55,CDG,Air France,Paris,Common
BA781,18:05,19:50,LHR,British Airways,London,Common
D8473,18:05,20:15,SZG,Norwegian Air Sweden,Salzburg,Common
SK2026,18:10,19:15,UME,SAS / Operated by CityJet on behalf of SAS,Umea,Common
SK1429,18:20,19:35,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
CA912,18:20,09:25,PEK,Air China,Beijing,Common
SK85,18:30,19:20,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby,Common
LH2419,18:35,20:50,MUC,Lufthansa,Munich,Common
FR4718,18:40,20:10,STN,Ryanair / Operated by Malta Air on behalf of Ryanair,London,Common
SK20,18:40,20:00,LLA,SAS,Lulea,Common
LH805,19:00,21:15,FRA,Lufthansa,Frankfurt,Common
SK26,19:15,20:20,UME,SAS,Umea,Common
6B729,19:20,13:10,HKT,TUIfly Nordic,Phuket,Common
FR756,19:20,21:35,VIE,Ryanair / Operated by Lauda Europe on behalf of Ryanair,Vienna,Common
SK1409,19:25,20:35,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
FR6098,19:55,21:15,GDN,Ryanair / Operated by Malta Air on behalf of Ryanair,Gdansk,Common
OS2628,20:00,22:25,INN,Austrian,Innsbruck,Common
LO458,20:00,21:40,WAW,LOT Polish Airlines,Warsaw,Common
FR4047,20:45,23:15,VNO,Ryanair / Operated by Buzz on behalf of Ryanair,Vilnius,Common
AY820,20:50,23:05,HEL,Finnair,Helsinki,Common
ET715,21:20,06:45,ADD,Ethiopian Airlines,Addis Ababa,Common
FR4605,21:30,23:55,KUN,Ryanair / Operated by Buzz on behalf of Ryanair,Kaunas,Common
SK1772,21:40,23:40,TLL,SAS,Tallinn,Common
LH8324,00:05,02:05,HEL,Lufthansa,Helsinki,Only in flight_departures
JU381,09:55,12:25,BEG,Air Serbia / Operated by GetJet Airlines on behalf of Air Serbia,Belgrade,Only in flight_departures
TK1794,11:35,17:20,ISL,Turkish Airlines,Istanbul,Only in flight_departures
TK1796,18:00,23:40,ISL,Turkish Airlines,Istanbul,Only in flight_departures
JP165,N/A,N/A,LPA,N/A,N/A,Only in all_departures_df
CAO3105,N/A,N/A,LGG,N/A,N/A,Only in all_departures_df
DK1742,N/A,N/A,LPA,N/A,N/A,Only in all_departures_df
LX1258,N/A,N/A,N/A,N/A,N/A,Only in all_departures_df
VJT517,N/A,N/A,GNB,N/A,N/A,Only in all_departures_df
TG960,N/A,N/A,N/A,N/A,N/A,Only in all_departures_df
CAT417,N/A,N/A,LYS,N/A,N/A,Only in all_departures_df
TT2904,N/A,N/A,LPA,N/A,N/A,Only in all_departures_df
D8612,N/A,N/A,VRN,N/A,N/A,Only in all_departures_df
SVF624,N/A,N/A,N/A,N/A,N/A,Only in all_departures_df
TG960,N/A,N/A,N/A,N/A,N/A,Only in all_departures_df
R66171,N/A,N/A,GNB,N/A,N/A,Only in all_departures_df
PE765,N/A,N/A,ACH,N/A,N/A,Only in all_departures_df
D8616,N/A,N/A,TRN,N/A,N/A,Only in all_departures_df
D8720,N/A,N/A,TRN,N/A,N/A,Only in all_departures_df
CAT423,N/A,N/A,SZG,N/A,N/A,Only in all_departures_df
D8610,N/A,N/A,TRN,N/A,N/A,Only in all_departures_df
QY6788,N/A,N/A,LHR,N/A,N/A,Only in all_departures_df
