fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_start in Airport Bounds
3931571a,,,,,,,,,,,,,,,2025-02-20 06:00:00+00:00,LX1255,A21N,ARN,ZRH,2550.0,195.0,2880.0,59.60394,17.871,ADSB,2025-02-20 08:02:08+00:00,6.737383675505814,SWR,,180.57000000000002,,6.737383675505814,
39315e76,2025-02-20 06:00:00+00:00,AY826,A319,ARN,HEL,0.0,0.0,0.0,59.64465,17.9255,ADSB,,1.2748624418384678,FIN,2025-02-20 06:30:00+00:00,AY826,A319,ARN,HEL,33025.0,427.0,-128.0,60.03424,20.79769,ADSB,2025-02-20 06:56:00+00:00,165.14213632318103,FIN,166.1907011891467,395.40200000000004,1.2748624418384678,165.14213632318103,True
39316073,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,SK525,A20N,ARN,LHR,2000.0,183.0,2176.0,59.60968,17.88783,ADSB,,5.6860497421445455,SZS,,169.458,,5.6860497421445455,
39316074,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,D84321,B738,ARN,NCE,37000.0,494.0,0.0,57.34286,17.81344,ADSB,2025-02-20 08:49:04+00:00,257.0412198157198,NSZ,,457.444,,257.0412198157198,
393160ce,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,SK1417,A20N,ARN,CPH,33300.0,454.0,1536.0,58.59004,16.02924,ADSB,2025-02-20 07:10:56+00:00,160.83602793955382,SZS,,420.404,,160.83602793955382,
393163dd,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,D84355,B738,ARN,FCO,25675.0,489.0,1472.0,58.55717,16.9302,ADSB,2025-02-20 08:53:20+00:00,134.8484614180103,NSZ,,452.814,,134.8484614180103,
393165e0,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,6B227,B38M,ARN,LPA,3750.0,236.0,1920.0,59.55572,17.72672,ADSB,2025-02-20 11:54:40+00:00,16.18816765223042,BLX,,218.536,,16.18816765223042,
3931660b,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,D84151,B38M,ARN,CPH,12400.0,339.0,2240.0,59.35359,17.33718,ADSB,2025-02-20 07:25:52+00:00,47.63264215755043,NSZ,,313.914,,47.63264215755043,
3931664c,2025-02-20 06:30:00+00:00,BA771,A320,ARN,LHR,0.0,0.0,0.0,59.64274,17.92893,ADSB,,1.348197742916094,BAW,2025-02-20 07:00:00+00:00,BA771,A320,ARN,LHR,34175.0,421.0,1024.0,58.90855,14.90552,ADSB,2025-02-20 08:59:44+00:00,191.20306679888085,BAW,190.1520753411664,389.846,1.348197742916094,191.20306679888085,True
393166d2,2025-02-20 06:30:00+00:00,D85701,B38M,ARN,LPA,0.0,0.0,0.0,59.66529,17.92609,ADSB,,1.516573979492584,NSZ,2025-02-20 07:00:00+00:00,D85701,B38M,ARN,LPA,34000.0,453.0,0.0,57.39444,13.92198,ADSB,2025-02-20 12:05:20+00:00,342.69341526511295,NSZ,343.08503896013224,419.478,1.516573979492584,342.69341526511295,True
39316869,2025-02-20 06:30:00+00:00,EW7219,A319,ARN,HAM,0.0,0.0,0.0,59.66567,17.92353,ADSB,,1.6292745544379683,EWL,2025-02-20 07:00:00+00:00,EW7219,A319,ARN,HAM,36000.0,404.0,64.0,57.35037,13.83333,ADSB,2025-02-20 07:47:12+00:00,349.8814797243898,EWL,350.1992135449728,374.10400000000004,1.6292745544379683,349.8814797243898,True
39316882,,,,,,,,,,,,,,,2025-02-20 06:30:00+00:00,5O4408,B738,ARN,ORB,22000.0,333.0,0.0,59.44362,16.42759,ADSB,2025-02-20 06:45:20+00:00,88.3574662690845,FPO,,308.358,,88.3574662690845,
39316b83,2025-02-20 06:30:00+00:00,DY801,B738,ARN,OSL,0.0,0.0,0.0,59.64632,17.92746,ADSB,,1.0617744954149406,NSZ,2025-02-20 07:00:00+00:00,DY801,B738,ARN,OSL,24875.0,374.0,-2368.0,59.94569,13.29166,ADSB,2025-02-20 07:27:25+00:00,261.95552718239406,NSZ,261.39901006739376,346.324,1.0617744954149406,261.95552718239406,True
39317083,,,,,,,,,,,,,,,2025-02-20 07:00:00+00:00,FR312,B738,ARN,DUB,28150.0,421.0,1472.0,59.51992,15.79493,ADSB,2025-02-20 09:10:24+00:00,121.64227578543502,RYR,,389.846,,121.64227578543502,
393170fe,,,,,,,,,,,,,,,2025-02-20 07:00:00+00:00,SK2277,AT76,ARN,SCR,8625.0,179.0,1344.0,59.68359,17.49564,ADSB,2025-02-20 07:45:04+00:00,25.164769798408365,BRX,,165.75400000000002,,25.164769798408365,
393171cd,,,,,,,,,,,,,,,2025-02-20 07:00:00+00:00,SK843,A320,ARN,OSL,23500.0,379.0,1920.0,59.67629,16.53679,ADSB,2025-02-20 07:34:24+00:00,78.83260871644052,SAS,,350.954,,78.83260871644052,
393171db,,,,,,,,,,,,,,,2025-02-20 07:00:00+00:00,LH2421,A21N,ARN,MUC,6375.0,256.0,3520.0,59.55684,17.72928,ADSB,2025-02-20 08:53:20+00:00,15.997673089459678,DLH,,237.056,,15.997673089459678,
