fr24_id,Timestamp,Flight,Aircraft,Origin,Destination,Altitude,Ground_Speed,Vertical_Speed,Lat,Lon,Source,operating_as,Track,ETA,distance_to_airport
392fca02,2025-02-20 05:00:00+00:00,TG960,A359,BKK,ARN,40000,414,0,53.63038,18.52102,MLAT,THA,337,2025-02-20 06:00:32+00:00,670.6806187885679
392fca02,2025-02-20 05:30:00+00:00,TG960,A359,BKK,ARN,37825,310,-960,56.88684,17.56503,MLAT,THA,5,2025-02-20 06:02:40+00:00,308.4219385700341
392fca02,2025-02-20 06:00:00+00:00,TG960,A359,BKK,ARN,3075,235,-1728,59.60719,18.29857,MLAT,THA,25,2025-02-20 06:03:56+00:00,20.81648791583159
39308011,2025-02-20 05:00:00+00:00,SK904,A333,EWR,ARN,39000,479,0,61.79433,3.13477,ADSB,SAS,99,2025-02-20 06:04:48+00:00,837.391705950869
39308011,2025-02-20 05:30:00+00:00,SK904,A333,EWR,ARN,39000,477,0,60.8718,11.17378,ADSB,SAS,107,2025-02-20 06:04:48+00:00,396.78816906756225
39308011,2025-02-20 06:00:00+00:00,SK904,A333,EWR,ARN,5275,252,-768,59.83887,18.14346,ADSB,SAS,105,2025-02-20 06:04:46+00:00,23.554557285845167
393084e3,2025-02-20 05:00:00+00:00,QR169,B788,DOH,ARN,39450,420,-1984,58.40672,20.46086,MLAT,QTR,324,2025-02-20 05:26:24+00:00,200.04992934658515
393084e3,2025-02-20 05:30:00+00:00,QR169,B788,DOH,ARN,0,15,0,59.64822,17.92067,ADSB,QTR,5,,1.2278813380883102
3930eafa,2025-02-20 05:00:00+00:00,CAO3105,A332,CTU,ARN,36000,190,0,50.81163,91.15987,ADSB,CAO,331,2025-02-20 10:59:12+00:00,4497.167479214262
3930eafa,2025-02-20 05:30:00+00:00,CAO3105,A332,CTU,ARN,36000,440,0,54.08369,88.15349,ADSB,CAO,329,2025-02-20 10:59:12+00:00,4107.859763126409
3930eafa,2025-02-20 06:00:00+00:00,CAO3105,A332,CTU,ARN,36000,439,0,57.1545,84.70613,ADSB,CAO,322,2025-02-20 11:03:28+00:00,3733.824644712589
3930eafa,2025-02-20 06:30:00+00:00,CAO3105,A332,CTU,ARN,38000,434,0,59.76409,79.90025,ADSB,CAO,311,2025-02-20 10:59:12+00:00,3346.606338927096
3930eafa,2025-02-20 07:00:00+00:00,CAO3105,A332,CTU,ARN,38000,415,0,61.56934,73.82894,ADSB,CAO,288,2025-02-20 11:07:44+00:00,2962.86950264647
3930eafa,2025-02-20 07:30:00+00:00,CAO3105,A332,CTU,ARN,38000,423,-64,62.41412,66.70666,ADSB,CAO,279,2025-02-20 11:03:28+00:00,2580.479746257077
3930eafa,2025-02-20 08:00:00+00:00,CAO3105,A332,CTU,ARN,38000,426,-256,63.21421,59.20741,ADSB,CAO,280,2025-02-20 11:01:20+00:00,2189.5783547455812
3930eafa,2025-02-20 08:30:00+00:00,CAO3105,A332,CTU,ARN,38000,435,0,63.65325,51.24078,ADSB,CAO,273,2025-02-20 10:59:12+00:00,1790.9800519281036
3930eafa,2025-02-20 09:00:00+00:00,CAO3105,A332,CTU,ARN,38000,438,0,63.61806,43.10156,ADSB,CAO,264,2025-02-20 10:57:04+00:00,1389.6841469509045
3930eafa,2025-02-20 09:30:00+00:00,CAO3105,A332,CTU,ARN,38000,452,-64,63.03387,35.04628,ADSB,CAO,253,2025-02-20 10:54:56+00:00,982.8274400459838
3930eafa,2025-02-20 10:00:00+00:00,CAO3105,A332,CTU,ARN,38000,474,128,61.69181,27.34458,MLAT,CAO,244,2025-02-20 10:50:40+00:00,559.4562742679714
3930eafa,2025-02-20 10:30:00+00:00,CAO3105,A332,CTU,ARN,17375,385,-768,59.98473,20.44324,MLAT,CAO,237,2025-02-20 10:47:28+00:00,144.69867197729073
3930eafa,2025-02-20 11:00:00+00:00,CAO3105,A332,CTU,ARN,0,8,0,59.64045,17.93513,ADSB,CAO,14,,1.4797126752011478
3930fa20,2025-02-20 05:00:00+00:00,SK958,A333,MIA,ARN,38000,514,0,39.44934,-56.05347,ESTIMATED,SAS,75,2025-02-20 10:59:12+00:00,5449.758173630696
3930fa20,2025-02-20 05:30:00+00:00,SK958,A333,MIA,ARN,38000,548,0,40.86764,-48.79373,ESTIMATED,SAS,69,2025-02-20 10:50:40+00:00,4926.942603986903
3930fa20,2025-02-20 06:00:00+00:00,SK958,A333,MIA,ARN,38000,548,0,42.35315,-43.04696,ESTIMATED,SAS,72,2025-02-20 10:50:40+00:00,4483.01674943877
3930fa20,2025-02-20 06:30:00+00:00,SK958,A333,MIA,ARN,38000,548,0,43.68621,-37.09483,ESTIMATED,SAS,73,2025-02-20 10:50:40+00:00,4041.572110469131
3930fa20,2025-02-20 07:00:00+00:00,SK958,A333,MIA,ARN,38000,548,0,44.85388,-30.94308,ESTIMATED,SAS,77,2025-02-20 10:50:40+00:00,3604.3426414397272
3930fa20,2025-02-20 07:30:00+00:00,SK958,A333,MIA,ARN,38000,548,0,47.25099,-25.45152,ESTIMATED,SAS,56,2025-02-20 10:50:40+00:00,3113.7076128501917
3930fa20,2025-02-20 08:00:00+00:00,SK958,A333,MIA,ARN,38000,548,0,49.66293,-19.62658,ESTIMATED,SAS,56,2025-02-20 10:50:40+00:00,2613.6148946955373
3930fa20,2025-02-20 08:30:00+00:00,SK958,A333,MIA,ARN,41000,548,64,52.34483,-12.92078,ADSB,SAS,57,2025-02-20 10:46:24+00:00,2060.065765933437
3930fa20,2025-02-20 09:00:00+00:00,SK958,A333,MIA,ARN,41000,535,64,54.77133,-6.61789,ADSB,SAS,51,2025-02-20 10:46:24+00:00,1564.2521016923665
3930fa20,2025-02-20 09:30:00+00:00,SK958,A333,MIA,ARN,41000,515,64,57.34053,-0.31199,ADSB,SAS,56,2025-02-20 10:50:40+00:00,1087.4449240921272
3930fa20,2025-02-20 10:00:00+00:00,SK958,A333,MIA,ARN,41000,491,128,59.20139,6.63931,ADSB,SAS,69,2025-02-20 10:50:40+00:00,640.3145736588785
3930fa20,2025-02-20 10:30:00+00:00,SK958,A333,MIA,ARN,40250,494,-1024,60.05704,14.29194,ADSB,SAS,98,2025-02-20 10:52:48+00:00,208.5526343049594
39310bf0,2025-02-20 05:00:00+00:00,5O4408,B738,CDG,ARN,7425,280,-1600,59.60307,17.3833,ADSB,FPO,37,2025-02-20 05:08:43+00:00,31.78720219725909
3931101c,2025-02-20 05:00:00+00:00,SK1415,A20N,ARN,CPH,0,0,0,59.65399,17.929,ADSB,SZS,73,,0.609636590579813
3931101c,2025-02-20 05:30:00+00:00,SK1415,A20N,ARN,CPH,37750,444,-960,57.86398,15.03054,ADSB,SZS,219,2025-02-20 06:02:40+00:00,260.23396600836435
3931101c,2025-02-20 06:00:00+00:00,SK1415,A20N,ARN,CPH,0,17,0,55.6138,12.6423,ADSB,SZS,33,2025-02-20 05:59:08+00:00,548.470474302055
3931152f,2025-02-20 05:00:00+00:00,5X282,B762,CGN,ARN,6425,264,-1344,59.72266,17.59082,ADSB,SRR,38,2025-02-20 05:07:46+00:00,21.03974829056566
39311de6,2025-02-20 05:00:00+00:00,,A306,LEJ,ARN,16675,340,-1920,59.06757,17.80912,ADSB,ABR,23,2025-02-20 05:17:56+00:00,65.57699809658425
39313576,2025-02-20 05:00:00+00:00,FR4617,B738,GDN,ARN,0,0,0,54.38046,18.46733,ADSB,RYS,22,,587.2041888242867
39313576,2025-02-20 05:30:00+00:00,FR4617,B738,GDN,ARN,8000,266,4416,54.46695,18.28062,MLAT,RYS,337,,577.0890063624274
39313576,2025-02-20 06:00:00+00:00,FR4617,B738,GDN,ARN,36000,366,0,57.28459,17.6327,MLAT,RYS,8,2025-02-20 06:38:56+00:00,264.01970429703226
39313576,2025-02-20 06:30:00+00:00,FR4617,B738,GDN,ARN,4175,188,-320,59.70266,18.55147,MLAT,RYS,325,2025-02-20 06:33:46+00:00,34.76826339454352
3931372c,2025-02-20 05:00:00+00:00,EK157,B77W,DXB,ARN,15450,437,2496,25.87387,55.66234,ADSB,UAE,33,2025-02-20 11:16:16+00:00,4736.251072507799
3931372c,2025-02-20 05:30:00+00:00,EK157,B77W,DXB,ARN,33000,490,0,29.81414,56.31813,ESTIMATED,UAE,7,2025-02-20 11:14:08+00:00,4381.346782976131
3931372c,2025-02-20 06:00:00+00:00,EK157,B77W,DXB,ARN,33000,490,0,33.74553,56.35882,ESTIMATED,UAE,321,2025-02-20 11:14:08+00:00,4008.1951630625467
3931372c,2025-02-20 06:30:00+00:00,EK157,B77W,DXB,ARN,34000,482,0,37.17908,54.59877,ADSB,UAE,351,2025-02-20 11:09:52+00:00,3601.51421796636
3931372c,2025-02-20 07:00:00+00:00,EK157,B77W,DXB,ARN,34000,475,0,40.8338,52.72693,ADSB,UAE,336,2025-02-20 11:12:00+00:00,3177.022618772983
3931372c,2025-02-20 07:30:00+00:00,EK157,B77W,DXB,ARN,34000,489,0,44.67956,51.43497,ADSB,UAE,349,2025-02-20 11:09:52+00:00,2778.7121042760978
3931372c,2025-02-20 08:00:00+00:00,EK157,B77W,DXB,ARN,34000,491,0,48.79871,50.28131,ADSB,UAE,348,2025-02-20 11:07:44+00:00,2389.5658623049694
3931372c,2025-02-20 08:30:00+00:00,EK157,B77W,DXB,ARN,34000,447,0,51.94949,47.40517,MLAT,UAE,288,2025-02-20 11:12:00+00:00,2008.9454513531807
3931372c,2025-02-20 09:00:00+00:00,EK157,B77W,DXB,ARN,34000,364,0,53.30767,42.88023,ESTIMATED,UAE,302,2025-02-20 11:12:00+00:00,1672.9516320234982
3931372c,2025-02-20 09:30:00+00:00,EK157,B77W,DXB,ARN,35975,110,-64,55.70677,36.56059,MLAT,UAE,322,2025-02-20 11:12:00+00:00,1185.851480981294
3931372c,2025-02-20 10:00:00+00:00,EK157,B77W,DXB,ARN,36000,472,-64,57.0211,30.05595,MLAT,UAE,300,2025-02-20 11:07:44+00:00,763.987731914363
3931372c,2025-02-20 10:30:00+00:00,EK157,B77W,DXB,ARN,36000,280,64,58.50692,23.70673,MLAT,UAE,286,2025-02-20 11:07:44+00:00,353.16307355088554
3931372c,2025-02-20 11:00:00+00:00,EK157,B77W,DXB,ARN,4700,202,-704,59.65859,18.48565,MLAT,UAE,308,2025-02-20 11:06:05+00:00,30.667001912618062
