fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_end in Airport Bounds
3931aa20,2025-02-20 09:30:00+00:00,SK73,CRJ9,OSD,ARN,10875.0,299.0,-1472.0,60.19469,18.31033,ADSB,2025-02-20 09:41:58+00:00,63.6160358104315,BCY,,,,,,,,,,,,,,,,,63.6160358104315,,
3931ab63,2025-02-20 09:30:00+00:00,SK142,A20N,GOT,ARN,23075.0,357.0,-1728.0,59.53354,16.34399,ADSB,2025-02-20 09:55:23+00:00,90.79539983573692,SZS,,,,,,,,,,,,,,,,,90.79539983573692,,
3931acc6,2025-02-20 10:00:00+00:00,SK1136,AT76,RNB,ARN,775.0,112.0,-832.0,59.67577,18.07315,ADSB,2025-02-20 10:01:30+00:00,7.885320619005072,BRX,,,,,,,,,,,,,,,,,7.885320619005072,,
3931acfa,2025-02-20 10:00:00+00:00,SK5,A20N,LLA,ARN,34000.0,422.0,0.0,62.23251,19.6815,ADSB,2025-02-20 10:33:36+00:00,301.7722402409848,SAS,2025-02-20 10:30:00+00:00,SK5,A20N,LLA,ARN,0.0,122.0,-640.0,59.664,17.97969,ADSB,2025-02-20 10:29:43+00:00,2.523461762986886,SAS,299.9978959619885,112.97200000000001,301.7722402409848,2.523461762986886,True
3931ad85,2025-02-20 09:30:00+00:00,SK2023,A20N,UME,ARN,34000.0,423.0,64.0,61.40548,19.06209,ADSB,2025-02-20 09:55:12+00:00,204.24394018787626,SZS,,,,,,,,,,,,,,,,,204.24394018787626,,
3931adb7,2025-02-20 10:00:00+00:00,SK2130,AT76,HAD,ARN,12025.0,234.0,-1024.0,59.20518,17.81433,ADSB,2025-02-20 10:12:17+00:00,50.35844361553128,BRX,,,,,,,,,,,,,,,,,50.35844361553128,,
3931ae82,2025-02-20 09:30:00+00:00,SK2474,A20N,TRD,ARN,39050.0,453.0,-64.0,61.86433,14.88098,ADSB,2025-02-20 10:03:44+00:00,296.6396284469583,SAS,2025-02-20 10:00:00+00:00,SK2474,A20N,TRD,ARN,0.0,82.0,0.0,59.66106,17.95665,ADSB,2025-02-20 09:59:34+00:00,1.261922983786974,SAS,296.4503338094456,75.932,296.6396284469583,1.261922983786974,True
3931b0ce,2025-02-20 10:00:00+00:00,,SF34,TLL,ARN,19975.0,271.0,0.0,59.61969,20.57217,ADSB,2025-02-20 10:25:52+00:00,147.99511384032363,,,,,,,,,,,,,,,,,,147.99511384032363,,
3931b47e,2025-02-20 10:00:00+00:00,SK1013,CRJ9,SFT,ARN,7275.0,271.0,-1216.0,60.04875,18.39433,ADSB,2025-02-20 10:07:59+00:00,50.748757241476206,BCY,,,,,,,,,,,,,,,,,50.748757241476206,,
3931b5ab,2025-02-20 10:30:00+00:00,SK2182,AT76,AGH,ARN,2075.0,172.0,-64.0,59.69646,18.23767,ADSB,2025-02-20 10:32:51+00:00,17.389879000033087,BRX,,,,,,,,,,,,,,,,,17.389879000033087,,
3931b6e3,2025-02-20 10:00:00+00:00,SK106,A20N,MMX,ARN,28800.0,391.0,-2240.0,58.41361,16.87802,ADSB,2025-02-20 10:30:37+00:00,150.659990225787,SZS,,,,,,,,,,,,,,,,,150.659990225787,,
3931bb5c,2025-02-20 10:30:00+00:00,D84036,B38M,LLA,ARN,3825.0,231.0,-448.0,59.78252,18.33243,ADSB,2025-02-20 10:34:41+00:00,26.27344067866776,NSZ,,,,,,,,,,,,,,,,,26.27344067866776,,
